zip,lat,lng,city,neighborhood
28202,35.2313622,-80.8396185,Charlotte,Forth Ward
28203,35.20832,-80.8577,Charlotte,Dilworth
28204,35.21469,-80.82677,Charlotte,Elizabeth
28205,35.22019,-80.78737,Charlotte,Draper Ave
28206,35.25631,-80.82144,Charlotte,Tryon Hills
28207,35.19512,-80.82606,Charlotte,Myers Park
28208,35.23153,-80.90611,Charlotte,Ashley Park
28209,35.17878,-80.85418,Charlotte,Ashbrook
28210,35.12969,-80.8548,Charlotte,Beverly Woods
28211,35.16816,-80.79604,Charlotte,Providence Park
28212,35.1896,-80.74519,Charlotte,Idlewild
28213,35.28459,-80.73339,Charlotte,Newell
28214,35.27177,-80.96847,Charlotte,Arlington
28215,35.24854,-80.69571,Charlotte,Silverwood
28216,35.31039,-80.8883,Charlotte,Oakdale
28217,35.17146,-80.9077,Charlotte,Yorkmount
28223,35.30824,-80.73282,Charlotte,University City South
28226,35.10767,-80.81837,Charlotte,Carmel
28227,35.18851,-80.6507,Charlotte,Mint Hill
28244,35.222881,-80.8425884,Charlotte,Second Ward
28262,35.32609,-80.74234,Charlotte,University City North
28269,35.33747,-80.8026,Charlotte,West Sugar Creek
28270,35.10963,-80.76005,Charlotte,Matthews
28273,35.12624,-80.94469,Charlotte,Ayrsley
28274,35.18909,-80.83384,Charlotte,Myers Park
28277,35.05212,-80.81622,Charlotte,Providence Crossing
28278,35.13063,-81.00753,Charlotte,Steele Creek
28280,35.2297037,-80.832912,Charlotte,First Ward
28282,35.22481,-80.84529,Charlotte,Third Ward
